feature,slope_rank,random_forest,gini,info_gain,chi2,slope_rank_gb,slope_rank_minmax,slope_rank_std,slope_rank_gb_std,slope_rank_gb_minmax
GLCM1,0.0035674377248995,0.0023385075484339,0.0055983520351475,0.0,1335.0952183547045,2.043632552450651e-15,0.0003952985618397,0.0003719791413987,2.2596562977107626e-16,4.895401017120135e-15
Rect,5.104937072923783e-05,0.0017107750319783,0.0,0.0,509.0617692858863,3.1982698216431494e-15,0.0014595065340438,5.292049545093241e-05,1.3386737957275051e-15,1.0306473437472488e-15
GLCM2,0.0004966666697946,0.0017829409758046,0.0,0.0097282149070673,1907.8206404787904,4.3633136476344065e-17,0.0017420878567811,8.470025313456066e-05,3.622634927580532e-16,1.136637153802854e-06
Dens,0.0005195438760102,0.0020501460650409,0.0096180758759319,0.0,1108.7540030039202,1.25899370155601e-15,0.0003656230181285,7.043679772341501e-05,5.999093782509779e-16,6.277234411697223e-16
Assym,0.0006725674562916,0.0024110855167987,0.0,0.0,536.6838659699258,7.809412504437436e-16,0.0005475669650302,2.608347582796204e-05,2.6520186510590607e-16,1.4052323885903412e-15
NDVI,0.0507306417536425,0.0366914770268003,0.2416510544708244,0.2988383508712862,5321.956391317096,2.719574357416171e-15,0.0272704954200115,0.0057805796992693,3.8376694190248666e-16,2.4963473225302616e-15
BordLngth,1.7672921577873174e-06,0.0076028005541158,0.0191216508485789,0.0026733653107449,6943.99238042785,5.6638822154850154e-09,0.0004919382178217,0.0003672725921401,6.681099787047131e-16,6.447429654200383e-15
GLCM3,5.6320986021606177e-08,0.0045487329840559,0.0,0.0056616557504262,20649.943556854872,1.129793618453551e-06,0.0003910272402926,9.834828808463837e-05,6.205697507859242e-17,1.7844342936844182e-05
BrdIndx_40,0.000673140647398,0.0028780440847397,0.0082578809243589,0.0,6753.516873722924,2.466483665133091e-17,0.0019091024102408,0.0004226235698912,5.275963351441378e-16,3.0268154044565093e-15
Area_40,7.49749611605122e-07,0.005492260516225,0.0078803562849021,0.0,31177.19111165123,1.491961828702903e-19,0.0013121179993771,0.0004108519893432,5.781790202360219e-16,2.1856909249129136e-05
Round_40,0.0011146971530124,0.001465334644893,0.0,0.0,3092.9859980647816,8.427214980259866e-16,0.0044046101790221,7.328595319718279e-05,4.934377694860599e-16,0.0015739755744435785
Bright_40,3.530268595667551e-05,0.0214934401239532,0.0063616650054728,0.0,59468.16359536169,1.3219533313281946e-17,0.0455132467996662,0.0044245893146199,8.543340545807796e-16,0.0670214830125247
Compact_40,0.0005170753395319,0.0019660095274445,0.0,0.0,5842.96810245038,2.602525158253308e-16,0.0027367661270107,0.0004271884583512,1.2101103321989817e-15,2.3887318444599245e-16
ShpIndx_40,0.000934362752562,0.0029117679112286,0.0,0.0,7932.160666196406,2.047389262165324e-16,0.0046103037012982,0.0004876788985433,1.4292556519740066e-16,6.182803524924782e-15
Mean_G_40,0.0002025277548282,0.0191920546371997,0.1553792782699514,0.0,40958.80577586741,0.0175890769825653,0.0390794606470527,0.0115926097545687,1.1575003460042232,3.9356866024645334
Mean_R_40,0.0001367519963753,0.0206315884916955,0.0,0.0,61507.65487090648,0.0006195603587539,0.015008517747607,0.0075942444912574,0.040346887625291,0.13852956034783304
Mean_NIR_40,5.572402654774115e-05,0.0263179561027568,0.0,0.0,59984.46256520372,1.597497937574059e-17,0.0196964055558992,0.0007075403394968,1.1164504829078274e-15,0.06786702499519214
SD_G_40,5.1748399993938965e-05,0.0080894484214219,0.0145634949185288,0.0,33780.06758687056,1.8105294134635989e-06,0.0001419403385441,0.0002515173076174,1.5552509794674698e-15,1.598367755425034e-16
SD_R_40,9.949477474315672e-05,0.0034104798727825,0.002290018065698,0.0,28592.49426485548,9.287044252405751e-17,0.005406567763416,0.0005824644994262,9.965521387471388e-16,2.1735026990350285e-15
